623.67	625.63	627.61	629.65	631.79	634.1	636.61	639.34	642.33	645.55	649	652.65	656.49	660.49	664.62	668.82	673	677.09	681.02	684.73	688.2	691.41	694.38	697.17	699.87	702.57	705.35	708.21	711.06	713.76	716.16	718.13	719.54	720.26	720.17	719.15	717.14	714.13	710.16	705.39	700.02	694.26	688.36	682.5	676.82	671.41	666.26	661.3	656.4	651.39	646.1	640.33	633.84	626.42	618.05	609.5	603.09	599.85	598.19	597.21	596.45	595.75	595.11	594.71	594.72	595.38	596.95	599.82	604.67	611.27	618.98	627.54	636.73	646.2	655.4	663.54	669.67	672.91	672.66	668.79	661.91	653.4
621.27	622.6	623.94	625.31	626.73	628.22	629.79	631.47	633.27	635.24	637.38	639.73	642.28	645.04	648	651.1	654.31	657.55	660.75	663.84	666.78	669.52	672.1	674.53	676.87	679.18	681.55	684.03	686.6	689.21	691.74	694.05	695.95	697.25	697.8	697.52	696.35	694.28	691.34	687.63	683.27	678.38	673.12	667.61	662.02	656.49	651.17	646.13	641.36	636.72	631.96	626.77	620.95	614.46	607.4	599.65	592.36	587.54	584.67	583.18	582.63	582.72	583.29	584.27	585.63	587.41	589.77	592.93	597.08	601.98	607.43	613.57	620.34	627.45	634.37	640.56	645.29	647.65	646.61	641.45	632.13	619.58
618.85	619.56	620.27	620.98	621.68	622.36	623	623.61	624.23	624.92	625.77	626.82	628.1	629.61	631.38	633.39	635.62	638	640.46	642.93	645.33	647.61	649.78	651.87	653.9	655.88	657.84	659.9	662.15	664.65	667.32	669.97	672.35	674.21	675.4	675.83	675.48	674.35	672.46	669.84	666.52	662.53	657.93	652.79	647.29	641.66	636.14	630.98	626.31	622.07	617.86	613.2	607.83	601.76	595.16	587.78	580.35	574.5	570.72	568.87	568.6	569.56	571.41	573.81	576.49	579.32	582.29	585.45	588.81	592.28	595.86	599.73	604.16	608.94	613.46	617.53	620.64	621.88	619.86	613.33	602.08	587.39
616.37	616.48	616.58	616.65	616.64	616.51	616.23	615.8	615.22	614.61	614.14	613.94	613.98	614.24	614.79	615.71	616.93	618.4	620.1	621.94	623.8	625.6	627.37	629.16	630.98	632.74	634.36	635.93	637.76	640.11	642.91	645.88	648.7	651.1	652.89	653.98	654.41	654.21	653.43	651.98	649.79	646.74	642.82	638.1	632.74	627.03	621.32	616.02	611.39	607.5	603.78	599.38	594.14	588.01	581.18	573.78	566.41	560.11	555.8	553.82	554.05	556.09	559.37	563.24	567.18	570.89	574.26	577.25	579.87	582.18	584.29	586.37	588.6	590.94	592.99	594.64	595.54	594.81	590.99	582.72	570.03	554.92
613.8	613.35	612.87	612.31	611.61	610.69	609.48	608	606.26	604.33	602.53	601.13	599.95	598.99	598.28	598.08	598.28	598.74	599.61	600.78	602.08	603.43	604.83	606.38	608.11	609.82	611.21	612.32	613.63	615.74	618.6	621.76	624.9	627.75	630.12	631.86	633	633.73	634.13	634.01	633.04	630.99	627.79	623.53	618.43	612.76	606.96	601.61	597.05	593.18	589.45	585.04	579.69	573.41	566.32	558.71	551.1	544.35	539.55	537.59	538.62	542.09	546.98	552.33	557.42	561.86	565.48	568.25	570.23	571.57	572.43	572.97	573.29	573.4	573.11	572.2	570.27	566.57	560.16	550.41	537.61	522.85
611.11	610.16	609.14	607.98	606.58	604.85	602.69	600.13	597.25	594.17	591.13	588.43	586.01	583.85	582.02	580.62	579.66	579.1	579	579.32	579.99	580.94	582.15	583.61	585.29	586.96	588.33	589.27	590.25	591.9	594.51	597.55	600.75	603.92	606.86	609.29	611.17	612.83	614.52	615.87	616.22	615.16	612.69	608.98	604.32	598.98	593.42	588.25	583.64	579.41	575.16	570.39	564.8	558.31	551.02	543.16	535.15	527.71	522.11	520.01	522.19	527.4	533.96	540.65	546.75	551.84	555.72	558.34	559.8	560.28	560.01	559.17	557.87	556.09	553.65	550.22	545.43	538.88	530.28	519.65	507.61	494.39
608.29	606.93	605.45	603.68	601.53	598.92	595.77	592.16	588.21	584.09	579.99	576.08	572.45	569.13	566.17	563.63	561.53	559.89	558.76	558.16	558.13	558.63	559.63	561.04	562.68	564.3	565.64	566.6	567.48	568.71	570.61	573.08	576.02	579.28	582.67	585.95	588.92	591.75	594.66	597.41	599.07	598.95	597.27	594.3	590.23	585.47	580.37	575.33	570.49	565.76	560.89	555.6	549.66	542.93	535.44	527.37	519.04	510.96	504.3	501.67	505.01	511.83	519.72	527.48	534.5	540.34	544.67	547.34	548.41	548.13	546.82	544.78	542.15	538.86	534.62	529.02	521.8	513.13	503.38	492.86	482.06	471.11
605.4	603.72	601.83	599.41	596.45	592.95	588.91	584.38	579.49	574.4	569.28	564.27	559.51	555.07	551.03	547.42	544.27	541.61	539.48	537.93	537.08	537.04	537.74	538.99	540.5	541.99	543.21	544.04	544.54	545.08	546.15	547.98	550.56	553.85	557.7	561.93	566.27	570.59	574.75	578.43	580.98	581.95	581.32	579.27	576.03	571.92	567.25	562.28	557.15	551.9	546.44	540.63	534.3	527.31	519.59	511.28	502.72	494.43	487.78	485.17	487.84	494.69	503.22	511.77	519.77	526.67	531.86	534.97	535.92	535	532.75	529.7	526.09	521.68	516.09	508.93	500.09	490.4	480.56	470.78	461.17	451.73
602.64	600.59	598.23	595.24	591.61	587.36	582.53	577.17	571.41	565.39	559.28	553.24	547.42	541.93	536.88	532.31	528.27	524.75	521.75	519.28	517.5	516.78	517.04	517.87	518.96	520.02	520.78	521.12	520.86	520.25	520.43	521.86	524.3	527.72	532.22	537.6	543.41	549.2	554.57	559.12	562.51	564.46	564.88	563.85	561.52	558.08	553.76	548.76	543.3	537.54	531.55	525.29	518.61	511.33	503.33	494.62	485.71	477.36	470.94	467.98	469.32	474.68	482.79	492.26	501.59	509.99	516.6	520.77	522.05	520.78	517.8	514.05	509.86	504.67	498.02	489.79	480.34	470.46	460.89	451.88	443.35	435.06
600.42	597.82	594.96	591.51	587.37	582.52	577.01	570.9	564.3	557.38	550.3	543.26	536.44	529.98	524.02	518.65	513.91	509.75	506.09	502.89	500.18	498.59	498.16	498.13	498.23	498.26	497.86	497.07	495.68	493.76	492.99	494.43	497.2	501.09	506.56	513.24	520.51	527.67	534.16	539.59	543.75	546.55	547.95	547.94	546.53	543.74	539.68	534.56	528.7	522.44	516.02	509.41	502.37	494.72	486.35	477.35	468.27	459.91	453.31	449.49	449.18	452.63	459.47	468.71	479.02	489.22	497.93	503.92	506.28	505.4	502.33	498.36	493.82	487.92	480.34	471.36	461.63	451.93	442.91	434.74	427.16	419.73
599.1	595.96	592.59	588.7	584.12	578.77	572.66	565.86	558.48	550.68	542.66	534.64	526.86	519.52	512.79	506.79	501.59	497.04	492.9	489.23	486.02	483.52	481.69	480.14	478.54	476.62	474.22	471.33	468.16	465.41	464.33	465.68	469.19	474.44	481.23	489.18	497.72	506.04	513.54	519.79	524.67	528.17	530.44	531.39	530.85	528.68	524.84	519.51	513.22	506.52	499.72	492.79	485.39	477.33	468.65	459.55	450.49	442.09	435.08	430.19	428.14	429.57	434.73	443.09	453.45	464.47	474.72	482.79	487.56	488.7	487.04	483.47	478.31	471.46	463	453.42	443.47	433.96	425.48	418.07	411.2	404.14
