622101.998407	5678903.387159	2164.079999	622803.260277	5678452.064545	2285.999999	623136.342290	5677679.556884	2133.599999	622357.161440	5677899.114424	2133.599999
622101.998407	5678903.387159	2164.079999	622803.260277	5678452.064545	2285.999999	623136.342290	5677679.556884	2133.599999	622638.222740	5677869.001684	2285.999999
623963.890387	5676134.934119	2346.959999	624119.076035	5677185.325229	2590.799999	623136.342290	5677679.556884	2133.599999	623258.814418	5677419.477842	2438.399999
623963.890387	5676134.934119	2346.959999	624119.076035	5677185.325229	2590.799999	623136.342290	5677679.556884	2133.599999	623737.222932	5677178.434888	2590.799999
623963.890387	5676134.934119	2346.959999	624119.076035	5677185.325229	2590.799999	623136.342290	5677679.556884	2133.599999	623903.753736	5677004.770499	2743.199999
623963.890387	5676134.934119	2346.959999	624119.076035	5677185.325229	2590.799999	623136.342290	5677679.556884	2133.599999	623738.584087	5676710.835799	2590.799999
623963.890387	5676134.934119	2346.959999	624119.076035	5677185.325229	2590.799999	623136.342290	5677679.556884	2133.599999	623640.181624	5676312.595322	2529.839999
623963.890387	5676134.934119	2346.959999	624086.342458	5675309.552226	2285.999999	623905.560574	5674968.396350	2011.679999	623571.016533	5675787.556443	2285.999999
623963.890387	5676134.934119	2346.959999	624086.342458	5675309.552226	2285.999999	623905.560574	5674968.396350	2011.679999	623427.662023	5675473.020454	2133.599999
623963.890387	5676134.934119	2346.959999	624086.342458	5675309.552226	2285.999999	623905.560574	5674968.396350	2011.679999	623521.424908	5675037.909746	2103.119999
624011.258186	5674559.059917	1981.199999	624408.858920	5673618.396650	2042.159999	624376.563444	5672856.475728	1798.319999	623959.929101	5674149.380411	2133.599999
624011.258186	5674559.059917	1981.199999	624408.858920	5673618.396650	2042.159999	624376.563444	5672856.475728	1798.319999	624164.972013	5673823.778272	2133.599999
624011.258186	5674559.059917	1981.199999	624408.858920	5673618.396650	2042.159999	624376.563444	5672856.475728	1798.319999	624233.008393	5673536.701109	2133.599999
624011.258186	5674559.059917	1981.199999	624408.858920	5673618.396650	2042.159999	624376.563444	5672856.475728	1798.319999	624147.350117	5673138.873573	1981.199999
624638.218013	5672485.753979	1828.799999	625663.028394	5671860.952159	2285.999999	625974.425625	5670964.571871	2164.079999	624507.687188	5672026.973597	1828.799999
624638.218013	5672485.753979	1828.799999	625663.028394	5671860.952159	2285.999999	625974.425625	5670964.571871	2164.079999	624688.635458	5671373.363131	1889.759999
624638.218013	5672485.753979	1828.799999	625663.028394	5671860.952159	2285.999999	625974.425625	5670964.571871	2164.079999	624893.204592	5671064.685584	1981.199999
624638.218013	5672485.753979	1828.799999	625663.028394	5671860.952159	2285.999999	625974.425625	5670964.571871	2164.079999	625214.197154	5670976.255637	2133.599999
624638.218013	5672485.753979	1828.799999	625663.028394	5671860.952159	2285.999999	625974.425625	5670964.571871	2164.079999	625507.264786	5670972.167272	2285.999999
624638.218013	5672485.753979	1828.799999	625663.028394	5671860.952159	2285.999999	625974.425625	5670964.571871	2164.079999	625759.267375	5670920.026652	2407.919999
626669.398975	5669309.821788	2133.599999	626625.413084	5670490.458464	2468.879999	625974.425625	5670964.571871	2164.079999	625759.267375	5670920.026652	2407.919999
626669.398975	5669309.821788	2133.599999	626625.413084	5670490.458464	2468.879999	625974.425625	5670964.571871	2164.079999	626088.112488	5670572.490054	2438.399999
626669.398975	5669309.821788	2133.599999	626625.413084	5670490.458464	2468.879999	625974.425625	5670964.571871	2164.079999	626310.389049	5670379.121832	2590.799999
626669.398975	5669309.821788	2133.599999	626625.413084	5670490.458464	2468.879999	625974.425625	5670964.571871	2164.079999	626384.668013	5670168.770179	2438.399999
626669.398975	5669309.821788	2133.599999	626625.413084	5670490.458464	2468.879999	625974.425625	5670964.571871	2164.079999	626374.706089	5669794.349810	2438.399999
626669.398975	5669309.821788	2133.599999	626625.413084	5670490.458464	2468.879999	625974.425625	5670964.571871	2164.079999	626488.431319	5669257.746482	2285.999999
626669.398975	5669309.821788	2133.599999	627013.017565	5668894.721008	2316.479999	626945.404288	5668178.522947	2072.639999	626671.793212	5668948.500192	2438.399999
626669.398975	5669309.821788	2133.599999	627013.017565	5668894.721008	2316.479999	626945.404288	5668178.522947	2072.639999	626747.849833	5668678.671232	2438.399999
626669.398975	5669309.821788	2133.599999	627013.017565	5668894.721008	2316.479999	626945.404288	5668178.522947	2072.639999	626685.568933	5668349.468931	2285.999999
626669.398975	5669309.821788	2133.599999	627013.017565	5668894.721008	2316.479999	626945.404288	5668178.522947	2072.639999	626702.196105	5668077.842071	2285.999999
627129.217041	5667711.976617	2103.119999	627903.632653	5667228.707506	2499.359999	628361.166908	5665707.336084	2194.559999	627006.344045	5667563.855342	2285.999999
627129.217041	5667711.976617	2103.119999	627903.632653	5667228.707506	2499.359999	628361.166908	5665707.336084	2194.559999	627377.195185	5667230.334577	2438.399999
627129.217041	5667711.976617	2103.119999	627903.632653	5667228.707506	2499.359999	628361.166908	5665707.336084	2194.559999	627405.686077	5666848.518716	2285.999999
627129.217041	5667711.976617	2103.119999	627903.632653	5667228.707506	2499.359999	628361.166908	5665707.336084	2194.559999	627454.839995	5666059.214736	1981.199999
627129.217041	5667711.976617	2103.119999	627903.632653	5667228.707506	2499.359999	628361.166908	5665707.336084	2194.559999	627737.609722	5665973.987635	2133.599999
628470.646704	5664464.919663	1889.759999	628771.546927	5665187.859318	2377.439999	628361.166908	5665707.336084	2194.559999	627667.865064	5665610.542185	1981.199999
