LONGITUDE,LATITUDE
100.32,-0.43
100.68,-0.98
101.27,-1.69
101.60,-2.27
101.73,-2.42
101.63,-2.59
102.02,-2.82
102.18,-2.82
102.37,-3.38
102.62,-3.52
103.13,-4.03
103.30,-4.27
103.62,-4.22
103.67,-4.43
103.92,-4.83
104.32,-5.12
104.27,-5.25
104.60,-5.35
105.63,-5.78
105.42,-6.10
105.97,-6.20
106.04,-6.27
106.65,-6.73
106.68,-6.75
106.73,-6.72
106.98,-6.78
107.37,-7.15
107.63,-7.21
107.60,-6.77
107.73,-7.32
107.72,-7.23
107.80,-7.13
107.83,-7.13
107.95,-6.77
108.05,-7.25
108.07,-7.21
108.08,-7.17
108.40,-6.89
109.21,-7.24
109.92,-7.20
109.99,-7.30
110.06,-7.38
110.33,-7.18
110.40,-7.37
110.43,-7.45
110.44,-7.54
111.19,-7.63
111.76,-7.81
112.31,-7.93
112.45,-7.92
112.58,-7.72
112.63,-7.62
112.68,-8.02
112.92,-8.11
112.95,-7.94
113.34,-8.00
113.58,-7.70
113.57,-7.97
114.04,-8.13
114.24,-8.06
114.37,-7.85
115.13,-8.28
115.38,-8.24
115.51,-8.34
116.47,-8.42
118.00,-8.25
119.06,-8.18
119.35,-8.52
120.03,-8.68
120.48,-8.68
120.52,-8.62
120.95,-8.88
120.98,-8.73
121.18,-8.81
121.63,-8.88
121.77,-8.79
121.78,-8.72
121.83,-8.76
121.71,-8.32
122.45,-8.67
122.67,-8.48
122.78,-8.53
122.84,-8.36
122.89,-8.30
123.26,-8.34
123.50,-8.27
123.42,-8.53
123.59,-8.54
123.58,-7.79
124.15,-8.51
123.95,-7.53
124.22,-6.62
124.68,-6.60
126.65,-6.64
128.68,-7.13
129.13,-6.92
129.50,-6.73
130.00,-6.30
130.29,-5.53
129.87,-4.53
121.61,-0.17
124.42,0.75
124.72,1.11
124.73,1.14
124.83,1.23
124.79,1.36
124.86,1.36
125.03,1.47
125.20,1.52
125.43,2.28
125.48,2.78
125.49,3.14
125.50,3.67
124.17,3.97
127.87,1.70
127.63,1.48
127.52,1.38
127.43,1.30
127.32,1.17
127.32,0.80
127.40,0.45
127.40,0.32
117.88,4.40
121.07,5.95
125.38,5.40
125.11,6.37
125.27,6.99
126.40,7.39
126.07,7.44
124.32,7.65
124.47,7.65
124.50,7.67
124.80,7.95
125.07,7.88
123.63,8.22
124.92,8.80
124.67,9.20
125.52,9.59
123.18,9.26
123.13,10.41
123.22,10.61
123.23,10.77
125.22,10.29
124.85,10.87
124.53,11.52
124.05,12.77
123.96,13.05
123.68,13.26
123.60,13.32
123.60,13.42
123.46,13.46
123.37,13.66
122.79,14.02
122.02,13.24
121.08,13.53
120.89,13.72
121.48,14.07
121.30,14.12
121.20,14.13
120.99,14.00
121.33,14.35
120.50,14.50
120.40,14.70
120.35,15.13
120.74,15.20
120.81,15.83
120.55,16.33
120.98,17.15
121.09,17.31
121.10,17.32
122.12,18.22
121.86,18.83
122.20,19.08
121.94,19.52
121.75,20.33
122.01,20.47
109.78,20.83
109.12,15.38
108.00,14.93
108.20,11.60
107.20,10.80
109.01,10.16
109.05,9.83
95.23,20.87
95.10,22.28
