7	57	137	50	TL
20	78	156	73	TL
11	60	133	56	TL
28	47	113	47	TR
343	69	123	59	TL
348	40	104	37	TL
197	76	226	63	NL
175	78	210	70	NL
11	84	110	84	TL
3	88	181	51	TL
175	75	290	74	NR
5	67	131	62	TL
11	82	90	82	TR
61	58	73	18	TR
75	56	170	56	TL
217	75	236	50	TR
206	78	219	47	TR
158	57	281	52	TL
313	81	327	56	TR
265	41	50	27	TL
315	70	22	68	TR
151	70	285	63	TL
150	65	305	42	TL
124	57	288	23	TL
130	71	274	60	TL
30	54	130	54	TL
354	35	150	16	TL
298	40	300	2	TR
15	72	155	63	TL
270	80	273	15	TR
5	39	74	37	TR
212	15	274	13	TR
284	65	301	32	TR
166	74	215	69	TR
133	51	275	37	TL
132	45	282	27	TL
165	47	300	37	TL
150	51	245	51	TL
194	84	282	84	TR
185	70	262	70	TR
179	75	250	74	TR
170	45	280	43	TL
180	50	270	50	TL
165	58	273	57	TL
163	55	258	55	TL
160	60	278	57	TL
159	58	259	58	TL
143	42	255	40	TL
182	62	245	59	TR
187	51	260	50	TR
179	57	308	50	TL
70	40	181	38	TL
45	40	143	40	TL
20	22	90	21	TR
53	40	105	33	TR
210	49	311	48	TL
195	69	292	69	TL
198	85	288	85	TL
