766675.5419	6591081.799	0.004	0.0004
554820.5314	6582059.947	0.0079	0.0004
504828.6513	6587208.948	0.0095	0.0024
529832.6757	6583799.326	0.0096	0.004
543621.4449	6649070.067	0.0081	0.0029
557483.1739	6655222.842	0.0082	0.002
577539.7532	6671932.992	0.0072	0.0014
520970.3832	6652273.054	0.0093	0.0017
499451.5459	6655218.589	0.0112	0.0035
493156.6307	6658618.389	0.0125	0.0037
492689.0719	6609770.667	0.0109	0.0026
634814.5884	6589984.398	0.0077	0.001
599037.65	6663891.897	0.0054	0.0009
485476.6844	6340465.34	0.0085	0.002
493222.4659	6315407.516	0.01	0.003
515341.2929	6332348.956	0.0083	0.0017
519034.1932	6341832.305	0.0056	0.0007
519866.7734	6338094.595	0.0068	0.0023
525964.9096	6322293.235	0.0055	0.0018
524343.0689	6321987.001	0.0063	0.0029
519923.7383	6320300.807	0.0079	0.0022
531662.4074	6502876.199	0.0112	0.0011
315367.5744	7003038.658	0.0257	0.0084
157875.0487	5994012.262	0.0387	0.0103
572797.2229	6503400.58	0.0071	0.0006
360052.836	6979809.939	0.0209	0.0066
261321.0036	6484178.74	0.0252	0.007
460422.9486	6528829.097	0.0161	0.0039
189542.7611	6086338.841	0.0372	0.0093
311710.966	6551717.786	0.0254	0.0079
387940.0588	6794194.915	0.0213	0.0051
367677.7939	6970265.839	0.0209	0.0059
558055.4409	5998777.568	0.0053	-0.001
836323.0038	6720376.91	0.0033	0.0008
556338.3611	6737196.115	0.0081	0.0012
444952.7851	6934165.589	0.0198	0.004
285680.9823	6137411.371	0.028	0.0068
282440.6924	6847777.406	0.0289	0.0072
409231.4094	7041382.755	0.0225	0.0051
394470.5422	6683027.116	0.0184	0.0065
220017.6672	6185775.868	0.0312	0.0115
450937.4456	6046217.098	0.0093	-0.0005
602125.3059	6535677.395	0.0074	0.0012
327735.0953	6656790.076	0.0209	0.0087
828212.9537	6313362.059	0.0029	-0.0003
261224.4634	6352369.839	0.0285	0.0123
545414.8602	6139441.966	0.005	0.0013
427908.0858	6645206.717	0.0154	0.0052
579429.6148	6533457.411	0.0098	0.0014
259930.4824	6613053.697	0.0233	0.0084
454300.4229	7082771.492	0.0202	0.0075
539829.2767	7021044.262	0.0169	0.008
422074.1784	6883533.519	0.0194	0.0046
933072.5647	6472991.646	0.0026	-0.0001
291912.3165	6412395.837	0.0225	0.0083
287865.5906	6037156.352	0.0292	0.0055
980611.4349	6902970.32	0.0043	0.0007
255589.8449	6275365.408	0.0239	0.0109
344382.2493	6330811.24	0.0193	0.0046
357492.1306	6210515.856	0.0177	0.0077
329970.9613	6764111.301	0.0209	0.005
820193.5152	7037823.838	0.0043	0.0011
345887.0121	6121848.573	0.0221	0.0087
654544.2666	6872967.188	0.008	0.0019
282922.2844	6739028.954	0.0205	0.0073
293562.01	6919599.77	0.0262	0.0088
874679.7569	7025349.678	0.0027	-0.0012
467304.0614	6382703.598	0.0107	0.003
531479.5747	7843819.637	0.0183	0.0083
233124.8697	8174101.733	0.0132	0.0033
362762.1941	7954000.887	0.0228	0.0077
404613.6022	8031712.425	0.0177	0.0081
350967.0905	8119912.544	0.0096	0.006
-29729.0187	8446784.004	0.0132	0.002
-525200.8951	8941645.107	0.0063	0.0069
553415.8101	8197814.415	0.0056	0.003
904946.602	8127599.59	0.0002	0.0041
478863.5321	7976611.524	0.0157	0.0102
708977.4977	7765126.661	0.0088	0.0073
320113.8126	7997921.525	0.0206	0.0083
797821.6169	8096166.608	0.0018	0.0078
563866.9162	8120347.191	0.0078	0.0087
637317.2837	7965067.31	0.0127	0.0082
91401.4019	8327080.007	0.0139	0.0042
786395.4949	8040952.072	0.008	0.0049
175206.348	8505583.75	0.0071	0.0061
997606.6625	7614862.728	0.0041	0.0003
456571.6248	8596006.441	0.0001	0.0025
436626.2423	7965454.35	0.0158	0.0047
-175888.636	8654700.767	0.0114	0.0032
1123692.008	7944279.997	0.0036	0.0014
385148.4152	7754937.599	0.0254	0.0054
83514.7474	8171725.822	0.0229	0.0019
349688.4777	8308007.59	0.0044	0.0047
649800.9278	8230560.09	0.0011	0.0077
348865.1709	8440764.253	0.0043	0.0012
603653.2887	7633252.15	0.0107	0.0037
743946.1963	8041515.57	0.0062	0.0065
376302.9155	7544546.09	0.0309	0.0077
553442.824	8208876.474	0.0048	0.0041
245022.7013	8074596.479	0.0247	0.0061
845995.3352	7818354.723	0.0061	0.0056
239567.8858	8572704.622	0.001	0.0057
520785.7942	7677839.361	0.0232	0.005
-301462.057	8450849.013	0.0267	0.0016
374152.5245	7832339.575	0.028	0.0103
1163462.539	7597766.25	0.0018	0.0003
385826.0739	7655321.182	0.0314	0.009
-128507.7871	9066902.73	0.0028	0.0005
108913.4385	8593336.04	0.0043	0.0048
-304491.7119	8551129.616	0.0257	0.0028
816933.478	8782489.169	0.0009	0.0053
672578.572	8418499.476	0.0022	0.0025
521112.0864	7954483.271	0.0163	0.0062
671458.7565	8263600.548	0.002	0.0037
436811.5181	7910130.096	0.022	0.0091
-373485.9859	8660706.437	0.0183	0.0006
1370990.619	8001627.684	0.001	0.0009
572406.8932	7600214.684	0.0163	0.0062
900182.3712	7894847.598	0.0114	0.0024
-89812.448	8245462.162	0.0242	0.001
903909.3691	7606380.484	0.0078	0.0009
858841.4391	7452194.112	0.0098	0.0017
872744.8435	8117113.386	0.0036	0.0011
1006571.952	7925551.893	0.0088	0.004
374786.8696	7743796.582	0.0288	0.011
861181.2657	7551950.446	0.0092	0.0015
-211910.6182	8364416.384	0.0218	0.0014
