8.724	5.145	62.775
8.632	5.08	62.811
8.65	5.091	62.806
8.644	5.087	62.796
8.659	5.097	62.789
8.678	5.108	62.784
8.717	5.131	62.773
8.61	5.058	62.818
8.615	5.06	62.81
8.629	5.069	62.804
8.653	5.083	62.799
8.67	5.093	62.793
8.697	5.109	62.789
8.722	5.124	62.784
8.735	5.131	62.778
8.746	5.138	62.771
8.62	5.053	62.811
8.653	5.073	62.799
8.66	5.077	62.792
8.693	5.096	62.788
8.698	5.099	62.781
8.732	5.119	62.778
8.752	5.131	62.772
8.58	5.02	62.83
8.618	5.042	62.811
8.64	5.055	62.806
8.652	5.062	62.8
8.701	5.091	62.799
8.689	5.084	62.788
8.723	5.104	62.786
8.737	5.112	62.779
8.768	5.13	62.776
8.79	5.143	62.771
8.584	5.012	62.833
8.606	5.025	62.82
8.643	5.046	62.817
8.64	5.045	62.808
8.651	5.051	62.802
8.685	5.071	62.799
8.678	5.067	62.788
8.711	5.086	62.785
8.738	5.102	62.781
8.782	5.128	62.781
8.811	5.145	62.776
8.833	5.158	62.771
8.636	5.032	62.816
8.656	5.043	62.81
8.664	5.048	62.803
8.69	5.063	62.799
8.689	5.063	62.789
8.738	5.092	62.789
8.746	5.096	62.782
8.814	5.137	62.785
8.836	5.149	62.78
8.844	5.154	62.772
8.583	4.991	62.841
8.585	4.992	62.832
8.631	5.019	62.815
8.666	5.039	62.812
8.685	5.051	62.807
8.69	5.054	62.799
8.733	5.079	62.797
8.756	5.092	62.792
8.768	5.099	62.786
8.809	5.123	62.784
8.826	5.133	62.778
8.86	5.153	62.775
8.869	5.158	62.767
8.576	4.977	62.844
8.582	4.98	62.836
8.598	4.99	62.831
8.646	5.018	62.822
8.67	5.032	62.817
8.679	5.037	62.81
8.697	5.048	62.805
8.701	5.05	62.796
8.734	5.069	62.793
8.77	5.09	62.79
8.78	5.096	62.783
8.805	5.111	62.779
8.846	5.134	62.777
8.865	5.145	62.771
8.891	5.161	62.767
7.972	4.615	62.964
8.567	4.962	62.847
8.594	4.977	62.843
8.616	4.99	62.839
8.615	4.99	62.829
8.647	5.008	62.826
8.653	5.011	62.819
8.668	5.02	62.813
8.679	5.026	62.806
8.697	5.037	62.801
8.727	5.055	62.797
8.757	5.072	62.793
