106	6000	8000
613	5646	7800
1141	5278	7600
1453	5014	7600
2071	4583	7400
2759	4146	7240
3078	3930	7300
3328	3771	7200
3731	3576	7240
4106	3424	7200
4953	3250	7280
5168	3250	7180
5891	3340	7400
6272	3389	7600
6724	3403	7800
6981	3382	7900
7592	3271	7800
8113	3104	7600
8793	2875	7400
9543	2458	7280
10522	2007	7400
11022	1812	7600
11182	1764	7600
11738	1632	7400
12252	1535	7200
12974	1424	7000
13377	1424	6920
13550	1764	6920
13404	2528	6840
13259	2958	6880
13120	3326	7000
12946	3771	7120
12897	4042	7040
12647	4472	7200
12154	5153	7400
11946	5403	7480
11911	5590	7400
11891	6153	7200
11884	6625	7060
12286	7000	6960
12210	7062	7000
11897	7222	7120
11807	7389	7000
11745	7535	6920
11509	8028	7000
10870	8764	7200
10272	9354	7400
9828	9764	7590
9877	10194	7400
9904	10375	7280
9599	10646	7400
9585	11312	7200
9592	11569	7050
9397	11944	7080
9293	12590	7000
8793	14055	6800
8620	15083	6600
8509	15292	6600
8266	15535	6680
8238	15861	6600
7786	17083	6600
7613	17444	6580
7217	18472	6480
7064	18667	6560
6404	20055	6400
6272	20187	6400
5842	20465	6600
5682	20785	6450
5349	21132	6600
5085	21292	6720
4946	21632	6600
4828	22049	6400
4738	22361	6200
4425	22680	6400
3766	23271	6600
2988	23986	6760
2870	24271	6680
